lambda,delta_v_mean,delta_h_mean,delta_v_median,delta_h_median,strict_pareto
0.0,-51.475523569754245,161.59151456039163,-53.51589153270642,134.913805203722,0/18
0.25,-49.41072671982891,67.31880617770614,-49.85966268699654,68.01958725828104,2/18
0.5,-49.90874272889036,36.47513031442837,-49.117857015448365,46.12125184334982,3/18
1.0,-49.218465415378375,13.841138681817784,-49.34135410673187,31.411875928717144,4/18
2.0,-49.93549678440561,-6.408733398829195,-51.66120562714285,11.218415923494963,8/18
3.0,-49.74252629536738,-16.279106046985717,-52.59851543071915,-13.869606781496229,11/18
4.0,-47.920455692945836,-20.768078662311627,-50.520953812477146,-16.743472454460278,16/18
6.0,-49.74804231853164,-31.44793391699905,-53.87597444543148,-27.399024305727025,17/18
8.0,-48.58598547279105,-37.87082007517625,-52.08059498361554,-35.550098833445006,18/18
