circuit,use_mask,delta_v_mean,delta_h_mean,n_seeds
adaptec1,False,-39.27096595038883,11.352230499611684,2
adaptec1,True,-39.27096595038883,11.352230499611684,2
adaptec2,False,-48.399843893066745,11.422205017604444,2
adaptec2,True,-48.399843893066745,11.422205017604444,2
adaptec3,False,-56.352725910969994,33.40134969585588,2
adaptec3,True,-56.352725910969994,33.40134969585588,2
adaptec4,False,-59.02559319382445,-11.387432018597172,2
adaptec4,True,-59.02559319382445,-11.387432018597172,2
bigblue1,False,-18.328301450527874,-76.27983151294144,2
bigblue1,True,-18.328301450527874,-76.27983151294144,2
bigblue3,False,-81.05879096974064,15.171396426684225,2
bigblue3,True,-81.05879096974064,15.171396426684225,2
